gvkey,iid,cik,first_date,last_date
039646,02,1851909,2021-09-14,2025-08-13
036607,04,1809987,2020-06-11,2021-11-10
038090,02,1837739,2021-03-03,2022-11-21
039746,03,1853044,2021-09-27,2025-08-14
033441,05,1756499,2021-08-16,2022-11-15
040399,01,1876581,2021-08-03,2025-05-23
038060,03,1838359,2021-06-16,2025-08-12
037999,02,1823034,2021-02-04,2022-11-14
036700,02,1809196,2020-04-16,2025-08-13
035261,01,1745059,2019-10-07,2025-04-09
037928,02,1834645,2021-01-11,2024-11-12
038592,03,1843973,2021-07-09,2025-08-13
164211,90,1329394,2005-06-09,2025-04-30
039634,03,1848020,2021-07-09,2023-11-14
038553,02,1846804,2021-06-11,2022-11-14
038121,02W,1841258,2021-06-22,2023-02-28
037963,01,1835636,2021-02-01,2022-11-14
030311,01,1590750,2016-12-02,2025-08-06
039748,03,1865506,2021-09-28,2025-08-13
039720,03,1844507,2021-08-05,2024-08-13
039748,02,1865506,2021-09-28,2025-08-13
019744,94W,1549802,2014-01-30,2025-04-17
064176,01,1022899,1997-03-14,2006-12-15
176245,01,1131166,2003-12-31,2010-11-22
163818,01,1281984,2004-04-20,2023-11-14
144997,01,1108064,2000-07-12,2010-11-22
015190,01,839435,2003-05-30,2010-10-29
108529,01,1076639,1999-01-22,2013-02-26
149620,05,913957,1996-05-15,2009-11-13
186130,01,1508844,2012-03-14,2021-05-05
020259,02,903124,2002-12-05,2008-01-24
126010,01,1069394,2000-04-18,2025-08-14
066097,01,900393,1997-12-02,2012-11-13
132742,01W,1106952,2003-06-30,2006-11-08
004230,01,718482,1994-01-13,2007-07-10
030847,01,915735,1996-08-13,2012-11-09
177627,01,1311673,2005-01-06,2025-08-13
207191,02W,1130968,2002-09-04,2009-05-15
144382,01C,1401395,2007-06-08,2024-02-16
207191,01W,1130968,2002-09-04,2009-05-15
260852,08,1268533,2004-07-30,2025-08-04
225476,01W,1130968,2002-09-04,2009-05-15
025546,03W,1051284,2003-03-05,2004-12-22
183565,02,1463833,2009-05-13,2023-03-15
184703,02,1422702,2010-04-15,2011-06-24
008148,01,712770,1995-05-12,2025-08-06
194655,02,1023994,2011-10-04,2025-08-14
